Filename;Instrument;Professeur;Nom compositeur;Titre de l'œuvre;Langue;Status
2022_07_27_02_1;Flute;Julien Beaudiment;Georg Philipp Telemann;12 Fantasias for Flute, Fantasia in e for solo flute No°8;EN;A post-produire (Olivier)
2022_07_28_05_1;Piano;Valentina Igoshina;Robert Schumann;1er mvt sonate N°2 op 22;FR;A post-produire (Olivier)
2023_02_10_03_01;Piano;Hugh TINNEY;Franz SCHUBERT;3 Klavierstücke, D.946;Anglais;
2023_02_10_03_02;Piano;Hugh TINNEY;Franz SCHUBERT;3 Klavierstücke, D.946;Anglais;
2022_02_14_01_1;Hautbois;Alexei Ogrintchouk;Robert Schumann;3 Romanzen, Op.94;EN;Online
2022_10_24_02_1;Piano;Dmitri Alexeev;Aleksandr Scriabin;5 Preludes;EN;A post-produire (Olivier)
2022_08_05_03_1;Piano;Isabelle Duha;Robert Schumann;6 Gedichte, Op.36 N°5 - N°6 - N°3;FR;A post-produire (Olivier)
2021_10_26_04_1;Violoncelle;Marc Coppey;Ludwig van Beethoven;7 Variations on 'Bei Männern welche Liebe fühlen';EN;Online
2022_10_31_04_1;Alto;Lars Anders Tomter;Robert Schumann;Adagio and Allegro for Horn and Piano;EN;En cours édito (Iris)
2021_02_16_02;Alto;Isabel Charisius;Alessandro Rolla;Adagio e tema con variazioni ;EN;Online
2021_02_12_02;Piano;Jacques Rouvier;Maurice Ravel;Alborada del gracioso;FR;Online
2022_07_27_05_1;Flute;Soyoung Lee;Joachim Andersen;Alla Mazurkas, Op.24;;A post-produire (Olivier)
2022_10_29_03_1;Flute;Davide Formisano;Franz Doppler;Andante and Rondo;EN;En cours édito (Iris)
2020_10_30_5;Piano;Jean-François Heisser;Franz Liszt;Années de pèlerinage Venezia e Napoli;FR;Online
2022_03_31_02_1;Piano;Olivier Gardon;Franz Liszt;Années de pèlerinage, part 1;FR;Online
2022_04_01_03_1;Piano;Olivier Gardon;Franz Liszt;Années de pèlerinage, part 2;FR;Online
2022_02_17_01_1;Violoncelle;Chu Yi-Bing;Franz Schubert;Arpeggione Sonata, 2nd and 3rd movement;EN;Online
2020_10_30_1;Piano;Jean-François Heisser;Frédéric Chopin;Ballade No. 1 in G Minor, Op. 23;FR;Online
2021_02_13_02;Piano;Jacques Rouvier;Frédéric Chopin;Ballade No. 1 in G Minor, Op. 23;EN;Online
2022_02_18_05_1;Piano;Stephen Kovacevich;Frédéric Chopin;Ballade No. 4 in F Minor, Op. 52;EN;Online
2022_10_28_04_2;Piano;Dmitri Alexeev;Frédéric Chopin;Ballade No.2;EN;Online
2022_10_28_02_1;Piano;Dmitri Alexeev;Frédéric Chopin;Ballade No.2;EN;Online
2022_11_01_05_1;Piano;Jean-François Heisser;Frédéric Chopin;Ballade No.4 in F minor;FR;A post-produire (Olivier)
2021_02_09_03;Trombone;Jacques Mauger;Eugène Bozza;Ballade, Op. 62, part 1;FR;Online
2021_02_11_02;Trombone;Jacques Mauger;Eugène Bozza;Ballade, Op. 62, part 2;FR;Online
